Wall time,Step,Value
1713599055.4538622,0,0.004675794392824173
1713599209.1068075,1,0.07743416726589203
1713599362.6425626,2,0.3494703769683838
1713599516.8181055,3,0.21946826577186584
1713599670.3510673,4,0.3479498624801636
1713599823.9188876,5,0.3787042796611786
1713599977.708882,6,0.42058536410331726
1713600131.5986657,7,0.3775881826877594
1713600285.7659981,8,0.393049031496048
1713600439.3112845,9,0.514742374420166
1713600592.8492906,10,0.5001043677330017
1713600747.6162784,11,0.5236499309539795
1713600901.2401202,12,0.5290771126747131
1713601055.1695378,13,0.5246701240539551
1713601212.7320027,14,0.5229015946388245
1713601374.915689,15,0.5467718839645386
1713601530.3745158,16,0.5316410660743713
1713601683.946139,17,0.5336025953292847
1713601837.5154288,18,0.35204339027404785
1713601991.1644354,19,0.4896663725376129
1713602145.1644316,20,0.47195377945899963
1713602299.762784,21,0.5046101808547974
1713602459.991821,22,0.59449303150177
1713602616.1976118,23,0.6514583826065063
1713602770.2074726,24,0.5198158025741577
1713602924.817487,25,0.5264548063278198
1713603078.4020267,26,0.4966897964477539
1713603232.0002623,27,0.5318988561630249
1713603385.865709,28,0.5404261946678162
1713603540.8382096,29,0.6068578958511353
1713603695.4862285,30,0.655707597732544
1713603849.520423,31,0.6238669157028198
1713604003.0891402,32,0.597954273223877
1713604156.7064073,33,0.49863511323928833
1713604310.4617813,34,0.6446355581283569
1713604465.0374584,35,0.6572167873382568
1713604618.6519136,36,0.6214414834976196
1713604772.2988605,37,0.6495985984802246
1713604925.888873,38,0.6012327075004578
1713605080.4504082,39,0.6094235777854919
1713605234.0888872,40,0.5701572299003601
1713605387.7484467,41,0.6502376794815063
1713605541.4212072,42,0.6522549986839294
1713605695.2669246,43,0.5782451629638672
1713605848.8768015,44,0.5698211789131165
1713606002.4538746,45,0.5730050206184387
1713606156.1188874,46,0.4889546036720276
1713606309.7303946,47,0.625126838684082
1713606474.297062,48,0.5818751454353333
1713606628.8806372,49,0.6248766183853149
1713606782.5676317,50,0.6087440848350525
1713606936.1452236,51,0.6888297200202942
1713607089.7911866,52,0.7099871039390564
1713607243.44035,53,0.6252532601356506
1713607397.0869253,54,0.6421661376953125
1713607550.762541,55,0.6561111807823181
1713607704.341349,56,0.6342310905456543
1713607858.2918363,57,0.4730147123336792
1713608011.8645623,58,0.613224446773529
1713608165.4498873,59,0.6553878784179688
1713608319.5078468,60,0.5535964369773865
1713608473.4998848,61,0.4969010651111603
